id,query_string,repository_id,repository_url,project_url,version,type,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
1,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/534,,QDA_PROJECT,Trends in International Mathematics and Science Study 2011,,,https://doi.org/10.25828/y56f-r240,2011,2026-04-17T21:07:08.244493+00:00,sada,534,,SCRAPING
2,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/173,,QDA_PROJECT,Trends in International Mathematics and Science Study 2007,,,https://doi.org/10.25828/p0t7-2405,2007,2026-04-17T21:07:24.443144+00:00,sada,173,,SCRAPING
3,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/860,,QDA_PROJECT,Trends in International Mathematics and Science Study 2015,,,https://doi.org/10.25828/CVA4-N470,2015,2026-04-17T21:07:53.091841+00:00,sada,860,,SCRAPING
4,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/170,,QDA_PROJECT,Trends in International Mathematics and Science Study 1999,,,https://doi.org/10.25828/5jfa-r958,1999,2026-04-17T21:08:09.420695+00:00,sada,170,,SCRAPING
5,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/167,,QDA_PROJECT,Trends in International Mathematics and Science Study 1995,,,https://doi.org/10.25828/sjfq-1g65,1995,2026-04-17T21:08:24.832405+00:00,sada,167,,SCRAPING
6,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/556,,QDA_PROJECT,University of Cape Town Student Admissions Data 2006-2014,,,https://doi.org/10.25828/966a-gt44,2006,2026-04-17T21:08:43.741948+00:00,sada,556,,SCRAPING
7,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/1033,,QDA_PROJECT,University of Cape Town Student Admissions Data 2020-2025,,,,2020,2026-04-17T21:08:55.692342+00:00,sada,1033,,SCRAPING
8,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/172,,QDA_PROJECT,Trends in International Mathematics and Science Study 2003,,,https://doi.org/10.25828/54bw-f785,2003,2026-04-17T21:09:10.955223+00:00,sada,172,,SCRAPING
9,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/518,,QDA_PROJECT,Graduate Destination Survey 2012,,,https://doi.org/10.25828/mdtp-9k07,2012,2026-04-17T21:09:25.782410+00:00,sada,518,,SCRAPING
10,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/165,,QDA_PROJECT,School Register of Needs Survey 2000,,,https://doi.org/10.25828/k954-ax80,2000,2026-04-17T21:09:38.033132+00:00,sada,165,,SCRAPING
11,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/490,,QDA_PROJECT,South African Social Attitudes Survey 2010,,,,2010,2026-04-17T21:09:50.321021+00:00,sada,490,,SCRAPING
12,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/609,,QDA_PROJECT,OER in Higher Education in the Global South 2014-2015,,,https://doi.org/10.25828/mt7b-mx25,2014,2026-04-17T21:10:03.035640+00:00,sada,609,,SCRAPING
13,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/164,,QDA_PROJECT,School Register of Needs Survey 1996,,,https://doi.org/10.25828/62f9-9p72,1996,2026-04-17T21:10:11.553686+00:00,sada,164,,SCRAPING
14,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/471,,QDA_PROJECT,World Values Survey South Africa 1982-2013,,,,1982,2026-04-17T21:10:23.014200+00:00,sada,471,,SCRAPING
15,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/558,,QDA_PROJECT,Progress in International Reading and Literacy Study 2011,,,https://doi.org/10.25828/9arw-5m72,2011,2026-04-17T21:10:40.074306+00:00,sada,558,,SCRAPING
16,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/537,,QDA_PROJECT,"Cape Area Panel Study 2002-2009, Waves 1-5 Secure Data",,,https://doi.org/10.25828/8y6d-1153,2002,2026-04-17T21:10:49.476753+00:00,sada,537,,SCRAPING
17,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/726,,QDA_PROJECT,Leadership for Literacy 2017,,,https://doi.org/10.25828/c5we-fj61,2017,2026-04-17T21:11:06.318960+00:00,sada,726,,SCRAPING
